Knygos pavadinimas,Autorius,Kaina €,Reitingas,Įvertinimų skaičius,Žanras
"Tai, ką palikome praeityje",Lucy Score,9.79,4,8,Užsienio romanai
Aukštnamis,J. G. Ballard,18.99,2,2,Užsienio romanai
Prie Mistiko ežero,Kristin Hannah,10.89,5,9,Užsienio romanai
Uždrausta aistra,Penelope Douglas,9.79,4,18,Užsienio romanai
FLORENCIJA ADLER PLAUKIA AMŽINAI. Tikra istorija paremtas liudijimas,Rachel Beanland,13.99,5,2,Užsienio romanai
PAVASARIO SNIEGAS. Japonų literatūros klasika,Yukio Mishima,13.99,5,2,Užsienio romanai
PASITIKĖJIMAS. 2023-iųjų Pulitzerio premiją pelnęs romanas,Hernan Diaz,15.89,4,0,Užsienio romanai
Viskas primena tave,Colleen Hoover,12.79,4,41,Užsienio romanai
KNYGA APIE FORMĄ IR TUŠTUMĄ. Romano „Knyga laiko būčiai“ autorės knyga,Ruth Ozeki,16.49,4,0,Užsienio romanai
Juodosios našlės,Cate Quinn,14.69,5,2,Užsienio romanai
GERŲ MOTINŲ MOKYKLA. Šiurpiai įžvalgus distopinis pasakojimas,Jessamine Chan,13.99,3,15,Užsienio romanai
"KAS TOJI MODĖ DIKSON? Nenuspėjamas, klastingas ir velniškai greitas trileris",Alexandra Andrews,13.99,4,0,Užsienio romanai
Kopa. Kopos Dievas Imperatorius. Ketvirta „Kopa“ kronikų knyga,Frank Herbert,20.89,4,5,Užsienio romanai
Perl Harboro merginos,Soraya M. Lane,9.79,2,2,Užsienio romanai
(Ne)Tobulas mano gyvenimas,Sophie Kinsella,9.79,5,1,Užsienio romanai
"KARALIŲ MOTINA. Kas ji? Intrigantė, šaltakraujė žudikė, neištikima žmona ar dievobaiminga Jogailaičių dinastijos kūrėja?",Juzefas Ignacas Kr...,12.99,4,2,Užsienio romanai
Kitas pasaulis. Tarptautinio bestselerio „Auksinės šaknys“ autorės kūrinys,Yaa Gyasi,12.69,4,0,Užsienio romanai
"SVAJONIŲ ŠALIS. Naujas „Užrašų knygelės“ autoriaus įspūdingas romanas apie tai, kaip rizikuoti viskuo dėl svajonės",Nicholas Sparks,16.39,4,4,Užsienio romanai
Žemės stulpai,Ken Follett,31.99,4,14,Užsienio romanai
"VISKAS ĮMANOMA. Novelių romanas, kurį Barackas Obama įrašė į geriausių metų knygų sąrašą",Elizabeth Strout,15.49,5,1,Užsienio romanai
Venecijos eskizų albumas,Rhys Bowen,16.39,5,1,Užsienio romanai
"RADISTAS. Tikros istorijos įkvėptas romanas apie vokiečių emigrantą, kuris, prasidėjus Antrajam pasauliniam karui, pakliūva į nacių žvalgybos tinklą Niujorke",Ulla Lentze,15.69,3,0,Užsienio romanai
Paveldėtoja. Prarastosios nuotakos. 1 knyga,Nora Roberts,10.89,4,24,Užsienio romanai
Moterys. Bestselerio „Keturi vėjai“ autorės knyga,Kristin Hannah,11.99,5,24,Užsienio romanai
Pralaužtas ledas,Hannah Grace,8.69,3,31,Užsienio romanai
Metai,Annie Ernaux,12.09,3,2,Užsienio romanai
Svetimas,Albert Camus,5.69,4,21,Užsienio romanai
Stiklo karoliukų žaidimas,Hermann Hesse,8.19,4,8,Užsienio romanai
Gatopardas,Giusepe Tomasi di...,13.39,4,3,Užsienio romanai
ARKTIES NUOTAKA. Tarptautinio bestselerio „Kapas jūroje“ tęsinys!,Aslak Nore,11.99,2,1,Užsienio romanai
"CITRINŲ DUONA. Maža kepyklėlė Maljorkoje, vasaros kvapas ir paslaptingas palikimas...",Cristina Campos,13.99,5,5,Užsienio romanai
Punk 57. „New York Times“ bestselerių autorė Penelope Douglas pristato savo naujausią romaną apie meilę ir neapykantą,Penelope Douglas,8.69,4,16,Užsienio romanai
"Tai, kas slypi tamsoje",Lucy Score,8.69,3,18,Užsienio romanai
Lanarkas. Vieno gyvenimo istorija keturiose knygose,Alasdair Gray,14.59,5,1,Užsienio romanai
Pono Linio dukraitė,Philippe Claudel,8.89,5,3,Užsienio romanai
Motyvas X,Stefan Ahnhem,13.99,3,7,Užsienio romanai
Šešėlis,Kristina Ohlsson,12.99,5,4,Užsienio romanai
Ne tik bendradarbiai. Be ribų. Trečia knyga,Cynthia St. Aubin,5.29,5,3,Užsienio romanai
Po darbo valandų. Be ribų. Antra knyga,Cynthia St. Aubin,5.29,5,3,Užsienio romanai
Intrigos vadovo kabinete. Be ribų. Pirma knyga,Cynthia St. Aubin,5.29,4,3,Užsienio romanai
Bruklinas,Colm Toibin,8.69,4,3,Užsienio romanai
Magas,Colm Toibin,9.79,5,1,Užsienio romanai
Vilko spąstai,Aslak Nore,13.99,5,1,Užsienio romanai
Netekęs teisės būti žmogumi,Osamu Dazai,10.59,4,23,Užsienio romanai
"PUIKUS NAUJAS PASAULIS. Vienas iš geriausių XX a. romanų, šiurpus bet kokio universalios laimės režimo simbolis",Aldous Huxley,8.89,4,31,Užsienio romanai
Šešėlis naktyje (Robertas Hanteris),Chris Carter,8.69,4,33,Užsienio romanai
Empūsijas,Olga Tokarczuk,13.19,3,5,Užsienio romanai
Itanas Fromas,Edith Wharton,8.99,4,9,Užsienio romanai
Avies medžioklė,Haruki Murakami,12.09,4,21,Užsienio romanai
Palikite pasaulį užmaršty,Rumaan Alam,11.19,2,2,Užsienio romanai
Akla kaip akmuo. Medūsos istorija,Natalie Haynes,12.09,4,3,Užsienio romanai
Panašumas,Tana French,16.49,4,6,Užsienio romanai
Vernonas Subutexas 3,Virginie Despentes,12.79,5,1,Užsienio romanai
Trojos moterys,Pat Barker,12.09,4,1,Užsienio romanai
"Aš, tu, atostogos",Emily Henry,12.69,3,4,Užsienio romanai
"RAŠYTOJAI IR MEILUŽIAI. Kaip neišduoti savo svajonės, kai tam priešinasi visas pasaulis?",Lily King,16.39,4,9,Užsienio romanai
"MONOGAMIJA. Įžvalgus pasakojimas apie šeimą, ištikimybę ir sielvartą",Sue Miller,16.39,3,4,Užsienio romanai
"POTVYNIAI. Naujas bestselerio „Karalienės sesuo“ autorės romanas apie laikus, kai moteriai pavojinga būti kitokiai",Philippa Gregory,20.89,5,11,Užsienio romanai
"ŽMONA. Provokuojanti istorija apie ambicingos moters rolę vyrų pasaulyje ir jos sprendimus santuokoje, darbe bei gyvenime",Meg Wolitzer,15.69,3,6,Užsienio romanai
SVEIKI ATVYKĘ Į „FLANAGANS“. Dramos ir intrigos prabangaus viešbučio užkulisuose,Åsa Hellberg,16.39,4,2,Užsienio romanai
"APLEISTUMAS. Trys moterys, trys miestai ir iš kartos į kartą keliaujančios paslaptys",Elisabeth Asbrink,15.49,4,2,Užsienio romanai
"NUODĖMIŲ VALGYTOJA. Įspūdingas, vaizduotę kaitinantis istorinis romanas apie našlaitę, kuriai teko atstumtosios dalia XVI amžiaus Anglijoje",Megan Campisi,15.49,3,15,Užsienio romanai
"NEBE TA MOTERIS. Viltingas bestselerių autorės Camille Pagán romanas apie moterį, mėginančią atsigauti po skyrybų",Camille Pagan,16.39,4,8,Užsienio romanai
TOKS SMAGUS AMŽIUS. Goodreads Choice Award geriausias metų debiutinis romanas,Kiley Reid,15.49,5,2,Užsienio romanai
"MANO VARDAS LIUSĖ BARTON. Bestselerio „Olivija Kiteridž“ autorės romanas apie sudėtingą mamos ir dukters ryšį – jausmą, kuriam nereikia žodžių",Elizabeth Strout,15.49,5,5,Užsienio romanai
"PANELĖS BENSON VABALAS. Svaiginančių nuotykių, ekstremalių išbandymų kupina kelionė į kitą pasaulio kraštą ir save. Juokingas, liūdnas ir įžvalgus „The New York Times“ bestseleris",Rachel Joyce,15.49,4,6,Užsienio romanai
"ŽINAU, KO GIEDA PAUKŠTIS NARVE. Nepalaužiamos moters, gebančios į pasaulį žiūrėti šviesiomis akimis, istorija",Maya Angelou,14.89,4,7,Užsienio romanai
"MEDŽIOKLIO UPĖ. Ar įmanoma pradėti gyvenimą iš naujo, jei buvai ištekėjusi už serijinio žudiko? Trečiasis bestselerių serijos „Stillhouse Lake“ trileris",Rachel Caine,15.49,4,7,Užsienio romanai
"KIRKĖ: ryškių veikėjų ir užburiančios kalbos pasakojimas apie šeimos susipriešinimą, dievų intrigas, sąžinę ir atsakomybę už savo klaidas, apie nepaprastą moters valią ir motinos meilę, stiprybę, pasiaukojimą ir pergales vyrų pasaulyje",Madeline Miller,9.09,4,46,Užsienio romanai
Uždaryta žiemai,Jørn Lier Horst,8.19,4,11,Užsienio romanai
"Raudona, balta ir karališka mėlyna",Casey McQuiston,13.39,3,2,Užsienio romanai
Sicilijos liūtai. Florijų šeimos saga. 1 dalis,Stefania Auci,13.99,4,5,Užsienio romanai
Mylimoji Sputnik,Haruki Murakami,11.49,4,10,Užsienio romanai
Kai nuvykau pas tėvą,Shin Kyung-sook,13.39,4,4,Užsienio romanai
Paskutinė Šanchajaus rožė,Weina Dai Randel,12.99,4,14,Užsienio romanai
Gyvybės ceremonija,Sayaka Murata,10.89,2,5,Užsienio romanai
Egzekucijos užrašai,Danya Kukafka,10.69,5,4,Užsienio romanai
Pažadas,Damon Galgut,11.99,2,1,Užsienio romanai
Šiaurės elnių švytėjimas,Ann-Helén Laestadius,13.39,4,3,Užsienio romanai
Krucifiksas (Robertas Hanteris),Chris Carter,10.89,4,45,Užsienio romanai
Triumfo arka,Erich Maria Remarque,10.89,5,8,Užsienio romanai
Žemės syvai,Knut Hamsun,8.69,4,4,Užsienio romanai
Svetimi batai,Jojo Moyes,9.79,4,11,Užsienio romanai
Bjauri meilė,Colleen Hoover,11.99,3,70,Užsienio romanai
Plaukti tamsoje,Tomasz Jedrowski,10.79,3,7,Užsienio romanai
Virsti vilku,Kerstin Ekman,11.49,4,6,Užsienio romanai
"Apie katiną, gelbėjusį knygas",Sosuke Natsukawa,11.49,5,6,Užsienio romanai
