Knygos pavadinimas,Autorius,Kaina €,Reitingas,Įvertinimų skaičius,Žanras
Crossroads,Jeanne C. Stein,10.69,4,0,Fantastika
Magic on the Hunt,Devon Monk,10.69,4,0,Fantastika
Canticle,R. A. Salvatore,15.39,4,0,Fantastika
The Caves of Steel,Isaac Asimov,14.09,4,0,Fantastika
The Alloy of Law,Brandon Sanderson,12.39,4,0,Fantastika
Moon Over Soho,Ben Aaronovitch,10.19,4,0,Fantastika
Spell Bound,Kelley Armstrong,14.09,4,0,Fantastika
Order 66: Star Wars Legends (Republic Commando),Karen Traviss,11.39,4,0,Fantastika
The Long Dark Tea-Time of the Soul,Douglas Adams,17.59,4,0,Fantastika
Confessor,Terry Goodkind,14.99,4,0,Fantastika
The Omen Machine,Terry Goodkind,11.09,4,0,Fantastika
True Colors: Star Wars Legends (Republic Commando),Karen Traviss,21.49,4,0,Fantastika
Deathless,Catherynne M. Valente,18.89,4,0,Fantastika
Unnatural Issue,Mercedes Lackey,12.79,4,0,Fantastika
The Measure of the Magic,Terry Brooks,12.79,4,0,Fantastika
Mistborn Trilogy,Brandon Sanderson,26.79,5,0,Fantastika
Aftermath,Ann Aguirre,10.69,4,0,Fantastika
Con & Conjure,Lisa Shearin,11.39,4,0,Fantastika
Mercy Blade,Faith Hunter,12.79,4,0,Fantastika
Brimstone Angels,Erin M. Evans,15.39,4,0,Fantastika
Circle of Enemies,Harry Connolly,12.79,4,0,Fantastika
Deceived: Star Wars Legends (The Old Republic),Paul S. Kemp,9.39,4,0,Fantastika
The Cold Commands,Richard K. Morgan,21.49,4,0,Fantastika
Kings of the North,Elizabeth Moon,10.09,4,0,Fantastika
The Story of the Stone,Barry Hughart,12.79,4,0,Fantastika
The Complete Grimm's Fairy Tales,Brothers Grimm,19.49,4,0,Fantastika
New Tales of the Vampires,Anne Rice,24.89,4,0,Fantastika
On Dragonwings,Anne McCaffrey,22.89,4,0,Fantastika
Magic Mourns,Ilona Andrews,4.69,4,0,Fantastika
Cat Tales,Faith Hunter,5.99,4,0,Fantastika
Prince of Thorns,Mark Lawrence,5.99,4,0,Fantastika
House Name,Michelle West,18.09,4,0,Fantastika
Black Night,Christina Henry,9.39,4,0,Fantastika
Under the Vale and Other Tales of Valdemar,Nezinomas autorius,10.69,4,0,Fantastika
The Mercy Thompson Collection Books 1-5,Patricia Briggs,69.19,5,0,Fantastika
Spellweaver,Lynn Kurland,7.99,4,0,Fantastika
The Voyage of the Jerle Shannara Trilogy,Terry Brooks,27.59,4,0,Fantastika
The Prequel Trilogy: Star Wars,"Terry Brooks, R. A...",9.39,4,0,Fantastika
"I, Jedi: Star Wars Legends",Michael A. Stackpole,9.39,4,0,Fantastika
Hard Contact: Star Wars Legends (Republic Commando),Karen Traviss,5.99,4,0,Fantastika
Heir to the Empire: Star Wars Legends (The Thrawn Trilogy),Timothy Zahn,1.99,4,0,Fantastika
The Crystal Star: Star Wars Legends,Vonda McIntyre,9.39,3,0,Fantastika
Magnificat,Julian May,10.09,4,0,Fantastika
The World of Shannara,"Terry Brooks, Tere...",24.89,4,0,Fantastika
The Complete Fairy Tales and Stories,Hans Christian And...,25.49,4,0,Fantastika
The Vampire Chronicles Collection,Anne Rice,18.09,4,0,Fantastika
The Time Machine,H. G. Wells,5.99,4,0,Fantastika
The Red Garden,Alice Hoffman,11.39,4,0,Fantastika
The Red Wyvern,Katharine Kerr,5.99,4,0,Fantastika
Heir to the Empire: Star Wars Legends,Timothy Zahn,7.99,4,0,Fantastika
Hounded (with two bonus short stories),Kevin Hearne,9.39,4,0,Fantastika
Hexed,Kevin Hearne,12.79,4,0,Fantastika
Revan: Star Wars Legends (The Old Republic),Drew Karpyshyn,5.99,4,0,Fantastika
The High Druid of Shannara Trilogy,Terry Brooks,24.89,4,0,Fantastika
The Difference Engine,William Gibson,16.09,3,0,Fantastika
Splinter of the Mind's Eye: Star Wars Legends,Alan Dean Foster,7.99,3,0,Fantastika
The Courtship of Princess Leia: Star Wars Legends,Dave Wolverton,7.99,4,0,Fantastika
Tales from Mos Eisley Cantina: Star Wars Legends,Kevin Anderson,7.99,4,0,Fantastika
Tales from Jabba's Palace: Star Wars Legends,Kevin Anderson,7.99,4,0,Fantastika
Fantastic Voyage,Isaac Asimov,7.99,4,0,Fantastika
Hyperion,Dan Simmons,5.99,4,0,Fantastika
The King Beyond the Gate,David Gemmell,10.09,4,0,Fantastika
Triple Zero: Star Wars Legends (Republic Commando),Karen Traviss,10.09,4,0,Fantastika
Twilight's Dawn,Anne Bishop,14.09,4,0,Fantastika
The Naked Sun,Isaac Asimov,12.79,4,0,Fantastika
Son of the Shadows,Juliet Marillier,14.99,4,0,Fantastika
2030,Albert Brooks,14.39,3,0,Fantastika
A Mighty Fortress,David Weber,15.69,4,0,Fantastika
Heir to Sevenwaters,Juliet Marillier,15.69,4,0,Fantastika
The Dark Mirror,Juliet Marillier,15.69,4,0,Fantastika
Heart's Blood,Juliet Marillier,15.69,4,0,Fantastika
Kushiel's Dart,Jacqueline Carey,22.89,4,0,Fantastika
Among Others,Jo Walton,16.99,4,0,Fantastika
The Transmigration of Timothy Archer,Philip K. Dick,18.69,4,0,Fantastika
The Divine Invasion,Philip K. Dick,23.99,4,0,Fantastika
Iron Crowned,Richelle Mead,10.39,4,0,Fantastika
A New Hope: Star Wars: Episode IV,George Lucas,12.79,4,0,Fantastika
The Dark Lord Trilogy: Star Wars Legends,"James Luceno, Matt...",16.09,4,0,Fantastika
The Lost Gate,Orson Scott Card,15.69,4,0,Fantastika
Second Grave on the Left,Darynda Jones,15.69,4,0,Fantastika
First Grave on the Right,Darynda Jones,14.99,4,0,Fantastika
Stand on Zanzibar,John Brunner,14.39,4,0,Fantastika
The Last Command: Star Wars Legends (The Thrawn Trilogy),Timothy Zahn,12.79,4,0,Fantastika
The Lost Fleet: Beyond the Frontier: Dreadnaught,Jack Campbell,10.69,4,0,Fantastika
Robopocalypse,Daniel H. Wilson,22.89,4,0,Fantastika
Return of the Jedi: Star Wars: Episode VI,James Kahn,7.99,4,0,Fantastika
Grimms' Tales for Young and Old,"Brothers Grimm, Ja...",16.79,4,0,Fantastika
The Drawing of the Dark,Tim Powers,14.79,4,0,Fantastika
Dragon's Egg,Robert L. Forward,9.39,4,0,Fantastika
Diamond Mask,Julian May,10.09,4,0,Fantastika
The Fifth Sacred Thing,Starhawk,24.89,4,0,Fantastika
Elminster: Making of a Mage,Ed Greenwood,15.39,4,0,Fantastika
Prayers to Broken Stones,Dan Simmons,7.99,4,0,Fantastika
The Fall of Hyperion,Dan Simmons,9.39,4,0,Fantastika
Beyond the Door,Philip K Dick,1.59,3,0,Fantastika
Beyond Lies the Wub,Philip K Dick,1.59,4,0,Fantastika
Second Variety,Philip K Dick,1.59,4,0,Fantastika
Succubus On Top,Richelle Mead,10.39,4,0,Fantastika
The Dragon Who Loved Me,G. A. Aiken,19.59,4,0,Fantastika
Embedded,Dan Abnett,10.09,4,0,Fantastika
The Adventures of Lando Calrissian: Star Wars Legends,L. Neil Smith,12.79,3,0,Fantastika
The Gods Themselves,Isaac Asimov,9.39,4,0,Fantastika
The Fermata,Nicholson Baker,22.19,4,0,Fantastika
Under Attack,Hannah Jayne,10.39,4,0,Fantastika
Waterless Sea,Kate Constable,21.39,4,0,Fantastika
Taken (Book #2 of the Vampire Legends),Emma Knight,7.99,3,0,Fantastika
Alpha Wolf,Rebecca Royce,12.59,4,0,Fantastika
Kiss at Your Own Risk,Stephanie Rowe,5.59,4,0,Fantastika
THE ALL-PRO,Scott Sigler,16.79,4,0,Fantastika
Bill The Vampire,Rick Gualtieri,13.39,4,0,Fantastika
Heirs of the Blade,Adrian Tchaikovsky,15.69,4,0,Fantastika
Silver Shark,Ilona Andrews,7.09,4,0,Fantastika
Shadow Heir,Richelle Mead,10.39,4,0,Fantastika
Succubus Revealed,Richelle Mead,16.99,4,0,Fantastika
Under Wraps,Hannah Jayne,9.09,3,0,Fantastika
Low Town,Daniel Polansky,19.49,4,0,Fantastika
My Life as a White Trash Zombie,Diana Rowland,10.69,4,0,Fantastika
The Golden Key,"Melanie Rawn, Jenn...",33.59,4,0,Fantastika
Gods and Heroes of Ancient Greece,Gustav Schwab,2.69,4,0,Fantastika
Tales of the Bounty Hunters: Star Wars Legends,Kevin Anderson,12.79,4,0,Fantastika
Jack the Bodiless,Julian May,18.79,4,0,Fantastika
Dead Shot,Jack Coughlin,15.69,4,0,Fantastika
The Order War,Jr. Modesitt,15.69,4,0,Fantastika
Moon Voyage,Jules Verne,4.69,4,0,Fantastika
A Matter of Magic,Patricia C. Wrede,14.99,4,0,Fantastika
Cottage by the Sea,Ciji Ware,24.59,4,0,Fantastika
Magic Bleeds,Ilona Andrews,14.09,4,0,Fantastika
Kraken,China Miéville,18.89,4,0,Fantastika
Extinction,Lisa Smedman,14.09,4,0,Fantastika
The Land of Laughs,Jonathan Carroll,15.19,4,0,Fantastika
Dragon,Steven Brust,15.69,4,0,Fantastika
The Fires of Heaven,Robert Jordan,12.39,4,0,Fantastika
Salute the Dark,Adrian Tchaikovsky,18.89,4,0,Fantastika
Odyssey,Homer,6.39,4,0,Fantastika
The Shadow Rising,Robert Jordan,12.39,4,0,Fantastika
The Time Machine,H. G. Wells,4.69,4,0,Fantastika
The Invisible Man,H. G. Wells,4.69,4,0,Fantastika
The Island of Dr. Moreau,H. G. Wells,4.69,4,0,Fantastika
The Time Machine and The Invisible Man,H. G. Wells,1.59,4,0,Fantastika
Hero,Cheryl Brooks,12.69,4,0,Fantastika
Fugitive,Cheryl Brooks,10.49,4,0,Fantastika
Daughter of the Forest,Juliet Marillier,18.89,4,0,Fantastika
Mistborn,Brandon Sanderson,11.09,4,0,Fantastika
Blood Song,Cat Adams,14.39,4,0,Fantastika
A Mighty Fortress,David Weber,12.39,4,0,Fantastika
The Magic of Recluce,Jr. Modesitt,13.69,4,0,Fantastika
The Word for World is Forest,Ursula K. Le Guin,16.99,4,0,Fantastika
Distinctions: Prologue to Towers of Midnight,"Robert Jordan, Bra...",3.29,4,0,Fantastika
The City & the City,China Miéville,15.69,4,0,Fantastika
The Road,Cormac McCarthy,17.59,4,0,Fantastika
White is for Witching,Helen Oyeyemi,18.89,4,0,Fantastika
Wild Cards I,George R. R. Martin,13.69,4,0,Fantastika
A Fire Upon The Deep,Vernor Vinge,18.89,4,0,Fantastika
Heartfire,Orson Scott Card,15.69,4,0,Fantastika
Shades of Milk and Honey,Mary Robinette Kowal,18.89,4,0,Fantastika
Kitty Goes to War,Carrie Vaughn,15.69,4,0,Fantastika
Ordermaster,Jr. Modesitt,14.99,4,0,Fantastika
The Family Trade,Charles Stross,14.99,4,0,Fantastika
Legacies,Jr. Modesitt,15.69,4,0,Fantastika
Wellspring of Chaos,Jr. Modesitt,14.99,4,0,Fantastika
The Palace of Impossible Dreams,Jennifer Fallon,14.99,4,0,Fantastika
The Many Deaths of the Black Company,Glen Cook,23.49,4,0,Fantastika
Bitter Seeds,Ian Tregillis,14.39,4,0,Fantastika
Magi'i of Cyador,Jr. Modesitt,14.99,4,0,Fantastika
Arms-Commander,Jr. Modesitt,14.99,4,0,Fantastika
The Death of Chaos,Jr. Modesitt,15.69,4,0,Fantastika
Darknesses,Jr. Modesitt,15.69,4,0,Fantastika
Variable Star,Robert A. Heinlein...,13.69,4,0,Fantastika
The Dark Design,Philip Jose Farmer,18.29,4,0,Fantastika
The Affinity Bridge,George Mann,16.99,4,0,Fantastika
The Dark Mirror,Juliet Marillier,14.99,4,0,Fantastika
The Light of Other Days,"Arthur C. Clarke,...",13.69,4,0,Fantastika
Dreadnought,Cherie Priest,13.69,4,0,Fantastika
Watcher of the Dead,J. V. Jones,14.99,4,0,Fantastika
Hater,David Moody,14.39,4,0,Fantastika
My Big Fat Supernatural Wedding,"P. N. Elrod, Sherr...",16.99,4,0,Fantastika
Siren Song,Cat Adams,16.99,4,0,Fantastika
The Gods of Amyrantha,Jennifer Fallon,14.99,4,0,Fantastika
Imager's Intrigue,Jr. Modesitt,16.99,4,0,Fantastika
Fall of Angels,Jr. Modesitt,18.29,4,0,Fantastika
Dark and Stormy Knights,Nezinomas autorius,14.99,4,0,Fantastika
The Chaos Balance,Jr. Modesitt,18.29,4,0,Fantastika
Requiem for the Sun,Elizabeth Haydon,15.69,4,0,Fantastika
Firstborn,Brandon Sanderson,1.99,4,0,Fantastika
Knife of Dreams,Robert Jordan,12.39,4,0,Fantastika
Lord of Chaos,Robert Jordan,12.39,4,0,Fantastika
Colors of Chaos,Jr. Modesitt,18.29,4,0,Fantastika
The Technician,Neal Asher,17.59,4,0,Fantastika
The Scarab Path,Adrian Tchaikovsky,15.69,4,0,Fantastika
The Evolutionary Void,Peter F. Hamilton,22.89,4,0,Fantastika
Sethra Lavode,Steven Brust,16.99,4,0,Fantastika
The Lord of Castle Black,Steven Brust,16.99,4,0,Fantastika
Dzur,Steven Brust,14.99,4,0,Fantastika
Iorich,Steven Brust,14.99,4,0,Fantastika
Kris Longknife: Redoubtable,Mike Shepherd,12.79,4,0,Fantastika
Killbox,Ann Aguirre,11.39,4,0,Fantastika
Magic at the Gate,Devon Monk,10.69,4,0,Fantastika
Conspirator,C. J. Cherryh,12.79,4,0,Fantastika
Finding the Way and Other Tales of Valdemar,Mercedes Lackey,12.79,4,0,Fantastika
An Artificial Night,Seanan McGuire,12.79,4,0,Fantastika
Shalador's Lady,Anne Bishop,12.79,4,0,Fantastika
Changes,Jim Butcher,12.79,5,0,Fantastika
Distant Thunders,Taylor Anderson,12.79,4,0,Fantastika
Twilight Falling,Paul S. Kemp,15.39,4,0,Fantastika
Midnight's Mask,Paul S. Kemp,15.39,4,0,Fantastika
Dragons of Winter Night,"Margaret Weis, Tra...",15.39,4,0,Fantastika
Annihilation,Philip Athans,14.09,4,0,Fantastika
The Bristling Wood,Katharine Kerr,10.69,4,0,Fantastika
The Queen of the Damned,Anne Rice,14.09,4,0,Fantastika
The Desert Spear: Book Two of The Demon Cycle,Peter V. Brett,21.49,4,0,Fantastika
Mass Effect: Retribution,Drew Karpyshyn,10.69,4,0,Fantastika
Bearers of the Black Staff,Terry Brooks,14.09,4,0,Fantastika
Tongues of Serpents,Naomi Novik,21.49,4,0,Fantastika
Gauntlgrym,R. A. Salvatore,15.39,4,0,Fantastika
Condemnation,Richard Baker,14.09,4,0,Fantastika
The White Road,Lynn Flewelling,12.79,4,0,Fantastika
Memnoch the Devil,Anne Rice,14.79,4,0,Fantastika
Taltos,Anne Rice,14.79,4,0,Fantastika
The Tale of the Body Thief,Anne Rice,14.79,4,0,Fantastika
Spellcrash,Kelly McCullough,10.69,4,0,Fantastika
Bellwether,Connie Willis,9.39,4,0,Fantastika
The Vampire Lestat,Anne Rice,14.79,4,0,Fantastika
Triumph of the Darksword,"Margaret Weis, Tra...",12.79,4,0,Fantastika
Dissolution,Richard Lee Byers,15.39,4,0,Fantastika
Dawn of Night,Paul S. Kemp,15.39,4,0,Fantastika
Final Gate,Richard Baker,9.39,4,0,Fantastika
Sacrifice of the Widow,Lisa Smedman,14.09,4,0,Fantastika
Insurrection,Thomas M. Reid,14.09,4,0,Fantastika
Resurrection,Paul S. Kemp,14.09,4,0,Fantastika
Dragons of Autumn Twilight,"Margaret Weis, Tra...",15.39,4,0,Fantastika
Dragons of Spring Dawning,"Margaret Weis, Tra...",15.39,4,0,Fantastika
The Fuller Memorandum,Charles Stross,14.09,4,0,Fantastika
Silver Borne,Patricia Briggs,12.79,4,0,Fantastika
The Lost Fleet: Victorious,Jack Campbell,12.79,4,0,Fantastika
A Local Habitation,Seanan McGuire,12.79,4,0,Fantastika
Intrigues,Mercedes Lackey,12.79,4,0,Fantastika
A Wild Light,Marjorie M. Liu,7.99,4,0,Fantastika
Freedom (TM),Daniel Suarez,12.79,4,0,Fantastika
"The Good, the Bad, and the Uncanny",Simon R. Green,7.99,4,0,Fantastika
The Well of Ascension,Brandon Sanderson,13.69,4,0,Fantastika
Waking the Witch,Kelley Armstrong,16.09,4,0,Fantastika
Farthest Reach,Richard Baker,9.39,4,0,Fantastika
Forsaken House,Richard Baker,9.39,4,0,Fantastika
Timescape,Gregory Benford,12.79,4,0,Fantastika
Ascendancy of the Last,Lisa Smedman,14.09,4,0,Fantastika
Chainfire,Terry Goodkind,14.99,4,0,Fantastika
The Pillars of Creation,Terry Goodkind,14.99,4,0,Fantastika
Naked Empire,Terry Goodkind,16.99,4,0,Fantastika
Faith of the Fallen,Terry Goodkind,13.69,4,0,Fantastika
Fairy Tales of Hans Christian Andersen,Hans Christian And...,4.69,4,0,Fantastika
Winter's Heart,Robert Jordan,12.39,4,0,Fantastika
Bewitched & Betrayed,Lisa Shearin,11.39,4,0,Fantastika
Gilded Latten Bones,Glen Cook,14.09,4,0,Fantastika
Blood Cross,Faith Hunter,10.69,4,0,Fantastika
Roadkill,Rob Thurman,11.39,4,0,Fantastika
Stories of Your Life and Others,Ted Chiang,14.79,4,0,Fantastika
Blood of the Demon,Diana Rowland,10.09,4,0,Fantastika
Unholy Magic,Stacia Kane,10.69,4,0,Fantastika
Unholy Ghosts,Stacia Kane,2.69,4,0,Fantastika
Stalking Darkness,Lynn Flewelling,9.39,4,0,Fantastika
A Time of Exile,Katharine Kerr,6.69,4,0,Fantastika
Ancestor,Scott Sigler,21.49,4,0,Fantastika
Forging the Darksword,"Margaret Weis, Tra...",5.99,4,0,Fantastika
Side Jobs,Jim Butcher,21.49,4,0,Fantastika
Bayou Moon,Ilona Andrews,12.79,4,0,Fantastika
Wolfsbane,Patricia Briggs,9.39,4,0,Fantastika
Star of the Morning,Lynn Kurland,5.99,4,0,Fantastika
Troubled Waters,Sharon Shinn,5.99,4,0,Fantastika
Cruel Enchantment,Anya Bast,10.09,4,0,Fantastika
Queen of Shadows,Dianne Sylvan,5.99,4,0,Fantastika
Black Wings,Christina Henry,5.99,4,0,Fantastika
Under Heaven,Guy Gavriel Kay,21.49,4,0,Fantastika
WWW: Watch,Robert J. Sawyer,10.09,4,0,Fantastika
Through Stone and Sea,"Barb Hendee, J. C....",12.79,4,0,Fantastika
A Tapestry of Spells,Lynn Kurland,16.09,4,0,Fantastika
Regenesis,C. J. Cherryh,12.79,4,0,Fantastika
Shadowheart,Tad Williams,25.49,4,0,Fantastika
Sailing to Sarantium,Guy Gavriel Kay,5.99,4,0,Fantastika
Lord of Emperors,Guy Gavriel Kay,22.19,4,0,Fantastika
Seer of Sevenwaters,Juliet Marillier,9.39,4,0,Fantastika
Masques,Patricia Briggs,5.99,4,0,Fantastika
Shadowrise,Tad Williams,22.19,4,0,Fantastika
The Dresden Files Collection 7-12,Jim Butcher,71.19,5,0,Fantastika
Luck in the Shadows,Lynn Flewelling,5.99,4,0,Fantastika
The Children of Men,P. D. James,12.79,4,0,Fantastika
Daggerspell,Katharine Kerr,2.69,4,0,Fantastika
Forbidden Knowledge,Stephen R. Donaldson,9.39,4,0,Fantastika
Darkspell,Katharine Kerr,9.39,4,0,Fantastika
The Witching Hour,Anne Rice,14.79,4,0,Fantastika
A Time of Omens,Katharine Kerr,9.39,4,0,Fantastika
Doom of the Darksword,"Margaret Weis, Tra...",9.39,4,0,Fantastika
Tales of the Otherworld,Kelley Armstrong,14.09,4,0,Fantastika
All Clear,Connie Willis,21.49,4,0,Fantastika
City of Ghosts,Stacia Kane,12.79,4,0,Fantastika
Gears of War: Anvil Gate,Karen Traviss,24.19,4,0,Fantastika
Blackout,Connie Willis,22.89,4,0,Fantastika
Oath of Fealty,Elizabeth Moon,5.99,4,0,Fantastika
The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,22.89,4,0,Fantastika
The Grimrose Path,Rob Thurman,12.09,4,0,Fantastika
Eight Skilled Gentlemen,Barry Hughart,22.19,4,0,Fantastika
Lasher,Anne Rice,10.09,4,0,Fantastika
Out of the Dark,David Weber,14.99,4,0,Fantastika
Blood Rites,Jim Butcher,12.79,4,0,Fantastika
Boneshaker,Cherie Priest,18.89,4,0,Fantastika
The Truth of Valor,Tanya Huff,15.39,4,0,Fantastika
Crossroads of Twilight,Robert Jordan,12.39,4,0,Fantastika
Days of Blood and Fire,Katharine Kerr,10.69,4,0,Fantastika
Undead,Richard Lee Byers,15.39,4,0,Fantastika
The Rage,Richard Lee Byers,14.09,4,0,Fantastika
The Rite,Richard Lee Byers,14.09,4,0,Fantastika
Shadowbred,Paul S. Kemp,14.09,4,0,Fantastika
Shadowrealm,Paul S. Kemp,14.09,4,0,Fantastika
Shadowstorm,Paul S. Kemp,14.09,4,0,Fantastika
Storm of the Dead,Lisa Smedman,14.09,4,0,Fantastika
Trout Fishing in America,Richard Brautigan,23.99,4,0,Fantastika
The Path of Daggers,Robert Jordan,12.39,4,0,Fantastika
A Crown of Swords,Robert Jordan,12.39,4,0,Fantastika
The Ghost Brigades,John Scalzi,18.29,4,0,Fantastika
Born of Night,Sherrilyn Kenyon,16.99,4,0,Fantastika
Servant of the Bones,Anne Rice,7.99,4,0,Fantastika
Violin,Anne Rice,12.79,3,0,Fantastika
"My Mother She Killed Me, My Father He Ate Me",Nezinomas autorius,22.89,4,0,Fantastika
Tempest (Destroyers #1),Holly Hook,4.79,4,0,Fantastika
The Heretic,Joseph Nassise,5.59,4,0,Fantastika
Domain,Steve Alten,14.39,4,0,Fantastika
Grendel,John Gardner,19.49,4,0,Fantastika
Lucy,Laurence Gonzales,9.39,4,0,Fantastika
The Bards of Bone Plain,Patricia A. McKillip,7.99,4,0,Fantastika
Omegas,Annie Nicholas,2.29,4,0,Fantastika
Everlasting Kiss,Amanda Ashley,12.99,4,0,Fantastika
Hunted by the Others,Jess Haines,21.39,4,0,Fantastika
Rookie,Scott Sigler,16.79,4,0,Fantastika
Forbidden The Stars (The Interstellar Age Book 1),Valmore Daniels,5.29,4,0,Fantastika
Gunnerkrigg Court Vol. 2,Tom Siddell,34.09,4,0,Fantastika
One for the Money,Jeaniene Frost,3.99,4,0,Fantastika
Shikasta,Doris Lessing,21.49,4,0,Fantastika
Last Dragon Standing,G. A. Aiken,19.59,4,0,Fantastika
Succubus Shadows,Richelle Mead,16.99,4,0,Fantastika
God of War,"Matthew Stover, Ro...",7.99,4,0,Fantastika
Succubus Blues,Richelle Mead,12.39,4,0,Fantastika
Kraken,China Miéville,7.99,4,0,Fantastika
The Illuminatus! Trilogy,Robert Shea,11.39,4,0,Fantastika
Shadow of the Scorpion,Neal Asher,17.59,4,0,Fantastika
Orbus,Neal Asher,19.59,4,0,Fantastika
"Life, the Universe and Everything",Douglas Adams,17.59,4,0,Fantastika
Mostly Harmless,Douglas Adams,17.59,4,0,Fantastika
A Quantum Murder,Peter F. Hamilton,17.59,4,0,Fantastika
Brass Man,Neal Asher,17.59,4,0,Fantastika
Pandora's Star,Peter F. Hamilton,24.79,4,0,Fantastika
Misspent Youth,Peter F. Hamilton,17.59,3,0,Fantastika
Five Hundred Years After,Steven Brust,16.99,4,0,Fantastika
Red Fairy Book,Nezinomas autorius,4.69,4,0,Fantastika
Yellow Fairy Book,Nezinomas autorius,4.69,4,0,Fantastika
Lilac Fairy Book,Nezinomas autorius,5.49,4,0,Fantastika
Wicked By Any Other Name,Linda Wisdom,10.49,4,0,Fantastika
Born of Ice,Sherrilyn Kenyon,13.69,4,0,Fantastika
Warbreaker,Brandon Sanderson,13.69,4,0,Fantastika
Shadow of the Hegemon,Orson Scott Card,13.69,4,0,Fantastika
The Return of the Black Company,Glen Cook,21.59,4,0,Fantastika
The Gathering Storm,"Robert Jordan, Bra...",12.39,4,0,Fantastika
Blood of the Mantis,Adrian Tchaikovsky,18.89,4,0,Fantastika
Dragonfly Falling,Adrian Tchaikovsky,18.89,4,0,Fantastika
Gridlinked,Neal Asher,19.59,4,0,Fantastika
The Line of Polity,Neal Asher,17.59,4,0,Fantastika
The Voyage of the Sable Keech,Neal Asher,17.59,4,0,Fantastika
Polity Agent,Neal Asher,17.59,4,0,Fantastika
Prentice Alvin,Orson Scott Card,15.69,4,0,Fantastika
The Call of Earth,Orson Scott Card,14.39,4,0,Fantastika
Makers,Cory Doctorow,13.69,4,0,Fantastika
The Price of Spring,Daniel Abraham,14.99,4,0,Fantastika
Calculating God,Robert J. Sawyer,13.19,4,0,Fantastika
Oracle Night,Paul Auster,16.99,4,0,Fantastika
The Dame,R. A. Salvatore,14.99,4,0,Fantastika
Red Prophet,Orson Scott Card,18.29,4,0,Fantastika
Destroyer of Worlds,"Larry Niven, Edwar...",16.99,4,0,Fantastika
Treason,Orson Scott Card,13.69,4,0,Fantastika
Dying Inside,Robert Silverberg,14.39,4,0,Fantastika
Imager's Challenge,Jr. Modesitt,18.29,4,0,Fantastika
Strange Brew,Nezinomas autorius,14.99,4,0,Fantastika
Muse and Reverie,Charles De Lint,15.69,4,0,Fantastika
A War of Gifts,Orson Scott Card,13.69,4,0,Fantastika
Empire,Orson Scott Card,14.39,3,0,Fantastika
Maps in a Mirror,Orson Scott Card,13.69,4,0,Fantastika
Imager,Jr. Modesitt,11.79,4,0,Fantastika
MythOS,Kelly McCullough,10.69,4,0,Fantastika
The Shadow Queen,Anne Bishop,12.79,4,0,Fantastika
Bone Crossed,Patricia Briggs,10.69,4,0,Fantastika
Changing the World,Mercedes Lackey,10.69,4,0,Fantastika
Dragons of the Hourglass Mage,"Margaret Weis, Tra...",15.39,4,0,Fantastika
Streams of Silver,R. A. Salvatore,15.39,4,0,Fantastika
Sea of Swords,R. A. Salvatore,15.39,4,0,Fantastika
The Two Swords,R. A. Salvatore,15.39,4,0,Fantastika
The Ghost King,R. A. Salvatore,15.39,4,0,Fantastika
Dragons of the Dwarven Depths,"Margaret Weis, Tra...",15.39,4,0,Fantastika
Dragons of the Highlord Skies,"Margaret Weis, Tra...",15.39,4,0,Fantastika
Sojourn,R. A. Salvatore,15.39,4,0,Fantastika
The Crystal Shard,R. A. Salvatore,15.39,4,0,Fantastika
To Say Nothing of the Dog,Connie Willis,11.39,4,0,Fantastika
Chaos and Order,Stephen R. Donaldson,12.79,4,0,Fantastika
A Dark and Hungry God Arises,Stephen R. Donaldson,12.79,4,0,Fantastika
Dreamfever,Karen Marie Moning,11.39,4,0,Fantastika
Child of Fire,Harry Connolly,12.79,4,0,Fantastika
A Princess of Landover,Terry Brooks,14.09,4,0,Fantastika
Flinx Transcendent,Alan Dean Foster,10.69,4,0,Fantastika
Traitor's Moon,Lynn Flewelling,12.79,4,0,Fantastika
Days of Air and Darkness,Katharine Kerr,12.79,4,0,Fantastika
The Dragon Revenant,Katharine Kerr,21.49,4,0,Fantastika
Wizard at Large,Terry Brooks,12.79,4,0,Fantastika
Exile,R. A. Salvatore,15.39,4,0,Fantastika
Passage to Dawn,R. A. Salvatore,15.39,4,0,Fantastika
The Lost Fleet: Relentless,Jack Campbell,14.09,4,0,Fantastika
The Bone Doll's Twin,Lynn Flewelling,12.79,4,0,Fantastika
The Halfling's Gem,R. A. Salvatore,15.39,4,0,Fantastika
Starless Night,R. A. Salvatore,15.39,4,0,Fantastika
The Silent Blade,R. A. Salvatore,15.39,4,0,Fantastika
The Thousand Orcs,R. A. Salvatore,15.39,4,0,Fantastika
The Lone Drow,R. A. Salvatore,15.39,4,0,Fantastika
Servant of the Shard,R. A. Salvatore,15.39,4,0,Fantastika
The Fallen Fortress,R. A. Salvatore,15.39,4,0,Fantastika
The Chaos Curse,R. A. Salvatore,15.39,4,0,Fantastika
The Spine of the World,R. A. Salvatore,15.39,4,0,Fantastika
Rosemary and Rue,Seanan McGuire,10.69,4,0,Fantastika
Small Favor,Jim Butcher,12.79,4,0,Fantastika
The Legacy,R. A. Salvatore,15.39,4,0,Fantastika
The Skinner,Neal Asher,19.59,4,0,Fantastika
The Warded Man: Book One of The Demon Cycle,Peter V. Brett,12.79,4,0,Fantastika
